book_name,chapter,paragraph
Bhagavad Gita,Chapter I,"Having spoken thus, Arjuna cast aside his bow together with the arrows, on the battle-field, and sat down in his chariot, with a mind agitated by grief."
Bhagavad Gita,Chapter I,back to top
Bhagavad Gita,Chapter I,"Several of these modes of array are described in Manu VII, , like a staff, like a wain, like a boar, c. That of the Pāṇḍavas, here referred to, appears to have been like the thunderbolt, as to which see Manu VII, ."
Bhagavad Gita,Chapter I,"This is a literal rendering; the technical meaning is 'a warrior proficient in military science, who can fight single-handed a thousand archers.'"
Bhagavad Gita,Chapter I,"The original word means, according to Śrīdhara, 'the ways of entrance into a Vyūha or phalanx.'"
Bhagavad Gita,Chapter I,"Who, as generalissimo, remained in the centre of the army."
Bhagavad Gita,Chapter I,"Literally, according to the commentators, 'lord of the senses of perception.'"
Bhagavad Gita,Chapter I,"Schlegel renders the names of these conchs by Gigantea, Theodotes, Arundinea, Triumphatrix, Dulcisona, and Gemmiflorea respectively."
Bhagavad Gita,Chapter I,"So called, par excellence, apparently."
Bhagavad Gita,Chapter I,I. e. to join in the fight.
Bhagavad Gita,Chapter I,"In the original, several derivatives from the root yudh, meaning 'to fight,' occur with the same frequency as 'battle' here."
Bhagavad Gita,Chapter I,"Generally interpreted 'lord of sleep,' i. e. not indolent. Nīlakaṇṭha also suggests, that it may mean 'of thick hair.'"
Bhagavad Gita,Chapter I,"The son of Dushyanta and Śakuntalā, after whom India is called 'Bhāratavarṣa,' and from whom both Pāṇḍavas and Kauravas were descended."
Bhagavad Gita,Chapter I,The words in this list include all standing in similar relationships to those directly signified.
Bhagavad Gita,Chapter I,"Such as the appearance of vultures, cars moving without horses, c., mentioned in the Bhīṣma Parvan II, . Cf. Sutta Nipāta, p. ."
Bhagavad Gita,Chapter I,A demon of this name.
Bhagavad Gita,Chapter I,Six classes are mentioned an incendiary; one who administers poison; one who assaults another--weapon in hand; one who destroys property; one who robs another of his wife; or his fields.
Bhagavad Gita,Chapter I,"I. e. there being none to attend to the 'rites,' women being ineligible."
Bhagavad Gita,Chapter I,I. e. the surviving members.
Bhagavad Gita,Chapter I,"I. e. either by the mere fact of relationship to such men, or by following their bad example."
Bhagavad Gita,Chapter I,"There being no qualified person to perform them; 'their ancestors'--that is to say, of the 'destroyers of families.'"
Bhagavad Gita,Chapter I,"I humbly request your help to keep doing what I do best provide the world with unbiased sources, definitions and images. Your donation direclty influences the quality and quantity of knowledge, wisdom and spiritual insight the world is exposed to."
Bhagavad Gita,Chapter I,Let's make the world a better place together!
Bhagavad Gita,Chapter II,Resources
Bhagavad Gita,Chapter II,"by Kashinath Trimbak Telang   , words"
Bhagavad Gita,Chapter II,"Volume , The Sacred Books of the East. This part Contains the english translation of the Bhagavad-gita...."
Bhagavad Gita,Chapter II,Go directly toFootnotes.
Bhagavad Gita,Chapter II,"To him, who was thus overcome with pity, and dejected, and whose eyes were full of tears and turbid, the destroyer of Madhu spoke these words."
Bhagavad Gita,Chapter II,"How comes it that this delusion, OArjuna! which is discarded by the good, which excludes from heaven, and occasions infamy, has overtaken you in this place of peril? Be not effeminate, O son of Pṛthā! it is not worthy of you. Cast off this base weakness of heart, and arise, O terror of your foes!"
Bhagavad Gita,Chapter II,"How, O destroyer of Madhu! shall I encounter with arrows in the battle Bhīṣma andDroṇa--both, O destroyer of enemies! entitled to reverence? Notkilling my preceptors--men of great glory--it is better to live even on alms in this world. But killing them, though they are avaricious of worldly goods, I should only enjoy blood-tainted enjoyments. Nor do we know which of the two is better for us-whether that we should vanquish them, or that they should vanquish us. Even those, whom having killed, we do not wish to live--even those sons of Dhṛtarāṣṭra stand arrayed against us. With a heart contaminated by the taint of helplessness, with a mind confounded about my duty, I ask you. Tell me what is assuredly good for me. I am your disciple; instruct me, who have thrown myself on your indulgence. For I do not perceive what is to dispel that grief which will dry up my organsafter I shall have obtained a prosperous kingdom on earth without a foe, or even the sovereignty of the gods."
Bhagavad Gita,Chapter II,"Having spoken thus to Hriṣīkesa, O terror of your foes! Guḍākeśa said toGovinda, 'I shall not engage in battle;' and verily remained silent. To him thus desponding between the two armies, O descendant of Bharata! Hṛṣīkesa spoke these words with a slight smile."
Bhagavad Gita,Chapter II,"You have grieved for those who deserve no grief,and you talk words of wisdom. Learned men grieve not for the living nor the dead. Never did I not exist, nor you, nor these rulers of men; nor will any one of us ever hereafter cease to be. As, in this body, infancy and youth and old age come to the embodied self, so does the acquisition of another body; a sensible man is not deceived about that The contacts of the senses, O son ofKuntī! which produce cold and heat, pleasure and pain, are not permanent, they are ever coming and going. Bear them, O descendant of Bharata! For, O chief of men! that sensible man whom theypain and pleasure being alike to him afflict not, he merits immortality. There is no existence for that which is unreal; there is no non-existence for that which is real. And the correct conclusion about bothis perceived by those who perceive the truth. Know that to be indestructible which pervades all this; the destruction of that inexhaustible principle none can bring about. These bodies appertaining to the embodied self which is eternal, indestructible, and indefinable, are saidto be perishable; therefore do engage in battle, O descendant of Bharata! He who thinks it to be the killer and he who thinksit to be killed, both know nothing. It kills not, is not killed. It is not born, nor does it ever die, nor, having existed, does it exist no more. Unborn, everlasting, unchangeable, and primeval, it is not killed when the body is killed. O son of Pṛthā! how can that man who knows it thus to be indestructible, everlasting, unborn, and inexhaustible, how and whom can he kill, whom can he cause to be killed? As a man, casting off old clothes, puts on others and new ones, so the embodied self casting off old bodies, goes to others and new ones. Weapons do not divide it into pieces; fire does not burn it, waters do not moisten it; the wind does not dry it up. It is not divisible; it is not combustible; it is not to be moistened; it is not to be dried up. It is everlasting, all-pervading, stable, firm, and eternal. It is said to be unperceived, to be unthinkable, to be unchangeable. Therefore knowing it to be such, you ought not to grieve, But even if you think that it is constantly born, and constantly dies, still, O you of mighty arms! you ought not to grieve thus. For to one that is born, death is certain; and to one that dies, birth is certain. Thereforeabout this unavoidable thing, you ought not to grieve. The source of things, O descendant of Bharata! is unperceived; their middle state is perceived; and their end again is unperceived. What occasion is there for any lamentation regarding them? One looks upon itas a wonder; another similarly speaks of it as a wonder; another too hears of it as a wonder; and even after having heard of it, no one does really know it. This embodied self, O descendant of Bharata! within every one's body is ever indestructible. Therefore you ought not to grieve for any being. Having regard to your own duty also, you ought not to falter, for there is nothing better for aKṣatriyathan a righteous battle. Happy thoseKṣatriyas, O son of Pṛthā! who can find such a battle to fight--come of itself--an open door to heaven! But if you will not fight this righteous battle, then you will have abandoned your own duty and your fame, and you will incur sin. All beings, too, will tell of your everlasting infamy; and to one who has been honoured, infamy is a greater evil than death. Warriors who are masters of great cars will think that you abstained from the battle through fear, and having been highly thought of by them, you will fall down to littleness. Your enemies, too,decrying your power, will speak much about you that should not be spoken. And what, indeed, more lamentable than that? Killed, you will obtain heaven; victorious, you will enjoy the earth. Therefore arise, O son of Kuntī! resolved to engage in battle. Looking alike on pleasure and pain, on gain and loss, on victory and defeat, then prepare for battle, and thus you will not incur sin. The knowledge here declared to you is that relating to the Sāṅkhya,. Now hear that relating to theYoga. Possessed of this knowledge, O son of Pṛthā! you will cast off the bonds of action. In this path to final emancipation nothing that is commenced becomes abortive; no obstacles exist; and even a little of this form of  piety protects one from great danger. There is here, O descendant ofKuru! but one state of mind consisting in firm understanding. But the states of mind of those who have no firm understanding are many-branched and endless. The state of mind consisting in firm understanding regarding steady contemplationdoes not belong to those, O son of Pṛthā! who are strongly attached to worldly pleasures and power, and whose minds are drawn away by that flowery talk which is full of ordinances of specific acts for the attainment of those pleasures and that power, and which promisesbirth as the fruit of acts--that flowery talk which those unwise ones utter, who are enamoured of Vedic words, who say there is nothing else, who are full of desires, and whose goal is heaven. TheVedasmerely relate to the effects of the three qualities; do you, O Arjuna! rise above those effects of the three qualities, and be free from the pairs of opposites, always preserve courage, be free from anxiety for new acquisitions or protection of old acquisitions, and be self-controlled. To the instructed Brāhmaṇa, there is in all the Vedas as much utility as in a reservoir of water into which waters flow from all sides. Your business is with action alone; not by any means with fruit. Let not the fruit of action be your motive to action. Let not your attachment be fixed on inaction. Having recourse to devotion, ODhanañjaya! perform actions, casting off all attachment, and being equable in success orill-success; such equability is called devotion. Action, O Dhanañjaya! is far inferior to the devotion of the mind. In that devotion seek shelter. Wretched are those whose motive to action is the fruit of action. He who has obtained devotion in this world casts off both merit and sin. Therefore apply yourself to devotion; devotion in all actions is wisdom. The wise who have obtained devotion cast off the fruit of action; and released from the shackles of repeatedbirths, repair to that seat where there is no unhappiness. When your mind shall have crossed beyond the taint of delusion, then will you become indifferent to all that you have heard or will heard. When your mind, confounded by what you have heard, will stand firm and steady in contemplation, then will you acquire devotion."
Bhagavad Gita,Chapter II,"What are the characteristics, O Kesava! of one whose mind is steady, and who is intent on contemplation? How should one of steady mind speak, how sit, how move?"
Bhagavad Gita,Chapter II,"When a man, O son of Pṛthā! abandons all thedesires of his heart, and is pleased in his self only and by his self, he is then called one of steady mind. He whose heart is not agitated in the midst of calamities, who has no longing for pleasures, and from whom the feelings of affection, fear, and wrathhave departed, is called a sage of steady mind. His mind is steady, who, being without attachments anywhere, feels no exultation and no aversion on encountering the various agreeable and disagreeablethings of this world. A man's mind is steady, when he withdraws his senses from all objects of sense, as the tortoise withdraws its limbs from all sides. Objects of sense draw back from a person who is abstinent; not so the taste for those objects. But even the taste departs from him, when he has seen the Supreme. The boisterous senses, O son of Kuntī! carry away by force the mind even of a wise man, who exerts himself for final emancipation. Restraining them all, a man should remain engaged in devotion, making me his only resort. For his mind is steady whose senses are under his control. The man who ponders over objects of sense forms an attachment to them; from that attachment is produced desire; and from desire anger is produced; from anger results want of discrimination; from want of discrimination,confusion of the memory; from confusion of the memory, loss of reason; and in consequence of loss of reason. he is utterly ruined. But the self-restrained man who moves amongobjects with senses under the control of his own self, and free from affection and aversion, obtains tranquillity. When there is tranquillity, all his miseries are destroyed, for the mind of him whose heart is tranquil soon becomes steady. He who is not self-restrained has no steadiness of mind; nor has he who is not self-restrained perseverancein the pursuit of self-knowledge; there is no tranquillity for him who does not persevere in the pursuit of self-knowledge; and whence can there be happiness for one who is not tranquil? For the heart which follows the rambling senses leads away his judgment, as the wind leads a boat astray upon the waters. Therefore, O you of mighty arms! his mind is steady whose senses are restrained on all sides from objects of sense. The self-restrained man is awake, when it is night for all beings; and when all beings are awake, that is the night of the right-seeing sage. He into whom all objects of desire enter, as waters enter the ocean, which, though replenished, still keeps its position unmoved,-he only obtains tranquillity; not he who desires those objects of desire. The man who, castingoff all desires, lives free from attachments, who is free from egoism, and from the feeling that this or that is mine, obtains tranquillity. This, O son of Pṛthā! is the Brahmicstate; attaining to this, one is never deluded; and remaining in it in one's last moments, one attains brahma-nirvāṇa the Brahmic bliss."
Bhagavad Gita,Chapter II,back to top
Bhagavad Gita,Chapter II,"The commentators say that 'heart' here signifies the dispositions which are stated in chapter XVIII infra, p. . The feeling. of 'helplessness' is incompatible with what is there stated as the proper disposition for a Kṣatriya."
Bhagavad Gita,Chapter II,"I. e. by the heat of vexation; the meaning is, 'which will cause constant vexation of spirit.'"
Bhagavad Gita,Chapter II,I. e. if the means employed are the sinful acts referred to.
Bhagavad Gita,Chapter II,"Scil. regarding family-rites, c.,. for, says Nīlakaṇṭha, they indicate knowledge of soul as distinct from body."
Bhagavad Gita,Chapter II,"A common word in the Gītā, that which presides over each individual body."
Bhagavad Gita,Chapter II,Scil. with external objects.
Bhagavad Gita,Chapter II,I.e. the. 'contacts.'
Bhagavad Gita,Chapter II,"The sense is this--there are two things apparently, the soul which is indestructible, and the feelings of pain c. which 'come and go.' The true philosopher knows that the former only is real and exists; and that the latter is unreal and non-existent. He therefore does not mind the latter."
Bhagavad Gita,Chapter II,Scil. by those who are possessed of true knowledge.
Bhagavad Gita,Chapter II,"Cf. Kaṭha-upaniṣad, p. ."
Bhagavad Gita,Chapter II,"Kaṭha-upaniṣad, pp. , ."
Bhagavad Gita,Chapter II,"'Eternal.' Nīlakaṇṭha explains this by 'unlimited by time, place,' c. Śaṅkara and others as 'uncreated,' 'without cause.' Stable not assuming new forms; firm  not abandoning the original form. Śrīdhara. The latter signifies a slight change; the former a total change."
Bhagavad Gita,Chapter II,"Cf. the following from the Sutta Nipāta Sir M. C. Swamy's translation, pp. ,  'There is, indeed, no means by which those born could be prevented from dying.' Even thus the world is afflicted with death and decay; therefore wise men, knowing the course of things in the world, do not give way to grief."
Bhagavad Gita,Chapter II,"Cf. Sutta Nipāta, p. . 'In vain do you grieve, not knowing well the two ends of him whose manner either of coming or going you know not.'"
Bhagavad Gita,Chapter II,I. e. the self spoken of above.
Bhagavad Gita,Chapter II,"Kaṭha-upaniṣad, p. ."
Bhagavad Gita,Chapter II,One of the warrior caste.
Bhagavad Gita,Chapter II,"Without any effort, that is to say, of one's own."
Bhagavad Gita,Chapter II,"Sāṅkhya is explained in different modes by the different commentators, but the resulting meaning here seems to be, that the doctrine stated is the doctrine of true knowledge and emancipation by its means. See infra, p. ."
Bhagavad Gita,Chapter II,Viz. this mortal mundane life.
Bhagavad Gita,Chapter II,I. e. for those who enter on this 'path.'
Bhagavad Gita,Chapter II,I.e. of the supreme Being; Yoga meaning really the dedication of all acts to that Being.
Bhagavad Gita,Chapter II,"See Sutta Nipāta, p. ."
Bhagavad Gita,Chapter II,"This is a merely temporary good, and not therefore deserving to be aspired to before final emancipation."
Bhagavad Gita,Chapter II,"I. e. the whole course of worldly affairs. As to qualities, see chapter XIV."
Bhagavad Gita,Chapter II,"Heat and cold, pain and pleasure, and so forth. Cf. Manu I, ."
Bhagavad Gita,Chapter II,"Cf. Sutta Nipāta, p. and other places."
Bhagavad Gita,Chapter II,Keeping the mind from worldly objects.
Bhagavad Gita,Chapter II,"The meaning here is not easily apprehended. I suggest the following explanation--Having said that the Vedas are concerned with actions for special benefits, Kṛṣṇa compares them to a reservoir which provides water for various special purposes, drinking, bathing, c. The Vedas similarly prescribe particular rites and ceremonies for going to heaven, or destroying an enemy, c. But, says Kṛṣṇa, man's duty is merely to perform the actions prescribed for him among these, and not entertain desires for the special benefits named. The stanza occurs in the Sanatsujātīya, too."
Bhagavad Gita,Chapter II,Doing nothing at all.
Bhagavad Gita,Chapter II,"Merit merely leads to heaven, as to which see note on last page. Cf. Sutta Nipāta, pp. , , note."
Bhagavad Gita,Chapter II,"Sutta Nipāta, pp. -, c."
Bhagavad Gita,Chapter II,"Sutta Nipāta, p. ."
Bhagavad Gita,Chapter II,"This, according to Ānandagiri, means all writings other than those on the science of the soul."
Bhagavad Gita,Chapter II,I. e. about the means for the acquisition of various desired things.
Bhagavad Gita,Chapter II,"I. e. of the soul Śaṅkara, of the supreme Being Śrīdhara. Substantially they both mean the same thing."
Bhagavad Gita,Chapter II,"I. e. pleased, without regard to external objects, by self-contemplation alone."
Bhagavad Gita,Chapter II,"Cf. Sutta Nipāta, p. ."
Bhagavad Gita,Chapter II,"The word śubhāśubha in this sense also occurs in the Dhammapada, stanza , and in the Maitrī-upaniṣad, p. ."
Bhagavad Gita,Chapter II,"See on this, Wilson's Essays on Sanskrit Literature, vol. iii, p. ."
Bhagavad Gita,Chapter II,I. e. when the desire is frustrated.
Bhagavad Gita,Chapter II,I. e. between right and wrong. Confusion of memory  forgetfulness of Śāstras and rules prescribed in them.
Bhagavad Gita,Chapter II,"Cf. Sutta Nipāta, p. ."
Bhagavad Gita,Chapter II,"Cf. Maitrī-upaniṣad, p. , where the commentator explains it to mean freedom from desires."
Bhagavad Gita,Chapter II,"For a somewhat similar use of the word bhāvanā in this sense, comp. Dhammapada, stanza ."
Bhagavad Gita,Chapter II,"Spiritual matters are dark as night to the common run of men, while they are wide awake in all worldly pursuits. With the sage the case is exactly the reverse."
Bhagavad Gita,Chapter II,"Either pride or, better, the false notion mentioned infra, p. ."
Bhagavad Gita,Chapter II,"An almost identical expression occurs in the Dhammapada, stanza , and Maitrī-upaniṣad, p. ."
Bhagavad Gita,Chapter II,"The state of identification of oneself with the Brahman, which results from a correct knowledge of the Brahman."
Bhagavad Gita,Chapter II,"Infra, p. ."
Bhagavad Gita,Chapter II,"I humbly request your help to keep doing what I do best provide the world with unbiased sources, definitions and images. Your donation direclty influences the quality and quantity of knowledge, wisdom and spiritual insight the world is exposed to."
Bhagavad Gita,Chapter II,Let's make the world a better place together!
Bhagavad Gita,Chapter III,Resources
Bhagavad Gita,Chapter III,"by Kashinath Trimbak Telang   , words"
Bhagavad Gita,Chapter III,"Volume , The Sacred Books of the East. This part Contains the english translation of the Bhagavad-gita...."
Bhagavad Gita,Chapter III,Go directly toFootnotes.
Bhagavad Gita,Chapter III,"If, O Ganārdana! devotion is deemed by you to be superior to action, then why, O Kesava! do you prompt me to this fearful action? You seem, indeed, to confuse my mind by equivocal words. Therefore, declare one thing determinately, by which I may attain the highest good."
Bhagavad Gita,Chapter III,"O sinless one! I have already declared, that in this world there is a twofold path--that of the Sāṅkhyas by devotion in the shape of true knowledge; and that of theYoginsby devotion in the shape of action. A man does not attain freedom from actionmerely by not engaging in action; nor does he attain perfectionby mererenunciation. For nobody ever remains even for an instant withoutperforming some action; since the qualities of nature constrain everybody, not having free-will in the matter, to some action. The deluded man who, restraining the organs of action, continues to think in his mind about objects of sense, is called a hypocrite. But he, OArjuna! who restraining his senses by his mind. and being free from attachments, engages in devotion in the shape of action, with the organs of action, is far superior. Do you perform prescribed action, for action is better than inaction, and the support of your body, too, cannot be accomplished with inaction. This world is fettered by all action other than action for the purpose of the sacrifice. Therefore, O son ofKuntī! do you, casting off attachment, perform action for that purpose. The Creator, having in olden times created men together with the sacrifice, said 'Propagate with this. May it be the giver to you of the things you desire. Please the gods with this, and may those gods please you. Pleasing each other, you will attain the highest good. For pleased with the sacrifices, the gods will give you the enjoyments you desire. And he who enjoys himself without giving them what they have given, is, indeed, a thief.' The good, who eat the leavings of a sacrifice, are released from all sins. But the unrighteous ones, who prepare food for themselves only, incur sin.From food are born all creatures; from rain is the production of food; rain is produced by sacrifices; sacrifices are the result of action; know that action has its source in theVedas; the Vedas come from the Indestructible. Therefore the all-comprehending Vedas are always concerned with sacrifices. He who in this world does not turn round the wheel revolving thus, is of sinful life, indulging his senses, and, O son of Pṛthā! he lives in vain. But the man who is attached to his self only, who is contented in his self, and is pleased with his self, has nothing to do. He has no interest at all in what is done, and none whatever in what is not done, in this world; nor is any interest of his dependent on any being. Thereforealways perform action, which must be performed, without attachment. For a man, performing action without attachment, attains the Supreme. By action alone, did Janaka and the rest work for perfection. And having regard also to the keeping of people to their duties you should perform action. Whatever a great man does, that other men also do. And people follow whatever he receives as authority. There is nothing, O son of Pṛthā! for me to do in all the three worlds,nothing to acquire which has not been acquired. Still I do engage in action. For should I at any time not engage without sloth in action, men would follow in my path from all sides, O son of Pṛthā! If I did not perform actions, these worlds would be destroyed, I should be the cause of caste interminglings; and I should be ruining these people. As the ignorant act, O descendant of Bharata! with attachment to action, so should a wise man act without attachment, wishing to keep the people to their duties. A wise man should not shake the convictions of the ignorant who are attached to action, but acting with devotion himself  should make them apply themselves to all action. He whose mind is deluded by egoism thinks himself the doer of the actions, which, in every way, are done by the qualities of nature. But he, O you of mighty arms! who knows the truth about the difference from qualities and the difference from actions, forms no attachments, believing that qualities deal with qualities. But those who are deluded by the qualities of nature form attachments to the actions of the qualities. A man of perfect knowledge should not shake these men of imperfect knowledge in their convictions. Dedicating all actions to me with a mind knowing the relation of the supreme and individual self, engage in battle withoutdesire, without any feeling that this or that is mine, and without any mental trouble. Even those men who always act on this opinion of mine, full of faith, and without carping, are released from all actions. But those who carp at my opinion and do not act upon it, know them to be devoid of discrimination, deluded as regards all knowledge, and ruined. Even a man of knowledge acts consonantly to his own nature. All beings follow nature. What will restraint effect? Every sense has its affections and aversions towards its objects fixed. One should not become subject to them, for they are one's opponents. One's own duty, though defective, is better than another's duty well performed. Death in performing one's own duty is preferable; the performance of the duty of others is dangerous."
Bhagavad Gita,Chapter III,"But by whom, O descendant of Vṛṣṇi! is man impelled, even though unwilling, and, as it were, constrained by force, to commit sin?"
Bhagavad Gita,Chapter III,The Deity said
Bhagavad Gita,Chapter III,"It is desire, it is wrath, born from the quality of passion; it is very ravenous, very sinful. Know that that is the foe in this world. As fire is enveloped by smoke, a mirror by dust, the fœtus by the womb, so is thisenveloped by desire. Knowledge, O son of Kuntī! is enveloped by this constant foe of the man of knowledge, in the shape of desire, which is like a fireand insatiable. The senses, the mind, and the understanding are said to be its seat; with these it deludes the embodied self after enveloping knowledge. Therefore, O chief of the descendants of Bharata! first restrain your senses, then cast off this sinful thing which destroys knowledge and experience. It has been said, Great are the senses, greater than the senses is the mind, greater than the mind is the understanding. What is greater than the understanding is that. Thus knowing that which is higher than the understanding, and restraining yourself by yourself, O you of mightyarms! destroy this unmanageable enemy in the shape of desire."
Bhagavad Gita,Chapter III,back to top
Bhagavad Gita,Chapter III,"Supra, p. ."
Bhagavad Gita,Chapter III,"I. e., according to Śaṅkara, identification of oneself with Brahman."
Bhagavad Gita,Chapter III,Final emancipation.
Bhagavad Gita,Chapter III,I. e. not coupled with knowledge and purity of heart.
Bhagavad Gita,Chapter III,"Cf. infra, pp. -."
Bhagavad Gita,Chapter III,"Hands, feet, c."
Bhagavad Gita,Chapter III,"By means of true discrimination keeping the senses from attachments to worldly objects, which lead to sin and evil."
Bhagavad Gita,Chapter III,"Cf. infra, pp. , . Probably the 'sacrifices' spoken of in that passage must be taken to be the same as those referred to in the Creator's injunction mentioned in this passage."
Bhagavad Gita,Chapter III,"Cf. Maitrī-upaniṣad, p."
Bhagavad Gita,Chapter III,"The commentators explain this to mean that though the Vedas elucidate all matters, their principal subject is the sacrifice."
Bhagavad Gita,Chapter III,"The distinctions here are rather nice,--an ordinary man is 'attached' to worldly objects, is 'contented' with goods c., and is pleased' with special gains."
Bhagavad Gita,Chapter III,No good or evil accrues to him from anything he does or omits to do.
Bhagavad Gita,Chapter III,"Śrīdhara says that Arjuna is here told to perform action, as freedom from it is only for the man of true knowledge, which Arjuna is not as yet."
Bhagavad Gita,Chapter III,"I. e. final emancipation; cf. p. infra, and Īśopaniṣad, p. ."
Bhagavad Gita,Chapter III,"The active principle is nature, the aggregate of the three qualities; the soul is only the looker-on;, cf. inter alia, p. infra."
Bhagavad Gita,Chapter III,"Scil. the difference of the soul from the collection of qualities, viz. the body, senses. c., and from the actions of which they are the authors."
Bhagavad Gita,Chapter III,"Qualities i. e. senses deal with qualities, i. e. objects of sense."
Bhagavad Gita,Chapter III,I. e. all mundane affairs.
